CODICE;MACCHINA;COIL;SIG_MAX;SIG_MIN;NOISE_MAX;NOISE_MIN;SNR_MAX;SNR_MIN;UI_MIN;UI_MAX
BUSA_;SYM;BO;1794.431961;2206.189758;17.04460969;32.35413957;61.34350189;103.5870623;84.06544939;90.02325422
BUSC_;SYM;BO;1654.955646;2103.765696;16.54964135;31.45061402;59.70868641;99.64777939;63.46738861;77.00201047
BUSS_;SYM;BO;1664.401581;2101.022776;16.04521838;32.40604323;57.11369652;101.7225004;64.67426321;76.64354319
HUSA_;SYM;HE1-4;1500.303297;1933.153743;2.131588251;7.22695075;179.8742549;575.5817944;87.10066168;98.88936945
HUSC_;SYM;HE1-4;1326.14353;1929.121942;2.055909633;4.867156879;360.9308375;588.5512743;71.89705232;87.9051462
HUSS_;SYM;HE1-4;1291.60359;1925.844393;2.382737798;5.30985563;295.1678;550.2086556;72.37977577;87.01254954
BUSA_;SYM_TIM;BO;1794.431961;2206.189758;17.04460969;32.35413957;61.34350189;103.5870623;84.06544939;90.02325422
BUSC_;SYM_TIM;BO;1654.955646;2103.765696;16.54964135;31.45061402;59.70868641;99.64777939;63.46738861;77.00201047
BUSS_;SYM_TIM;BO;1664.401581;2101.022776;16.04521838;32.40604323;57.11369652;101.7225004;64.67426321;76.64354319
HUSA_;SYM_TIM;HE1-4;1500.303297;1933.153743;2.131588251;7.22695075;179.8742549;575.5817944;87.10066168;98.88936945
HUSC_;SYM_TIM;HE1-4;1326.14353;1929.121942;2.055909633;4.867156879;360.9308375;588.5512743;71.89705232;87.9051462
HUSS_;SYM_TIM;HE1-4;1291.60359;1925.844393;2.382737798;5.30985563;295.1678;550.2086556;72.37977577;87.01254954
BUSA_;AVA;BO;1783.734977;2059.981651;14.82251718;23.31779032;78.36982419;124.1669327;84.85182053;92.65787232
BUSC_;AVA;BO;1690.845258;1958.36474;10.8066245;26.88783732;68.27503174;127.8760864;63.93053569;77.99977037
BUSS_;AVA;BO;1685.490901;1968.164185;14.73433559;22.69643352;78.18257123;117.8336971;64.27680767;78.98842413
HUSA_;AVA;HE1-4;1690.834588;2178.992673;0.039816961;11.50895233;102.1699787;618.5165012;90.71736984;96.65216751
HUSC_;AVA;HE1-4;1676.641086;2123.527071;-4.199882749;14.74480587;115.0692893;707.3678919;79.79827135;90.2986513
HUSS_;AVA;HE1-4;1643.3308;2129.124729;1.302772652;7.938304331;194.0714493;654.9306189;79.78736634;88.15617262
BUSA_;AERA;BO;;;;;;;;
BUSC_;AERA;BO;;;;;;;;
BUSS_;AERA;BO;;;;;;;;
HUSA_;AERA;HE1-4;;;;;;;;
HUSC_;AERA;HE1-4;;;;;;;;
HUSS_;AERA;HE1-4;;;;;;;;
