pixel,valore
0,874.641723633
1,867.551208496
2,860.710021973
3,853.986206055
4,847.331787109
5,843.868652344
6,836.963317871
7,831.161376953
8,823.685974121
9,817.340026855
10,811.403808594
11,805.710388184
12,801.933898926
13,797.010986328
14,793.025024414
15,787.752319336
16,784.425170898
17,778.429809570
18,771.066650391
19,767.949401855
20,763.514282227
21,757.416870117
22,749.211425781
23,743.259704590
24,735.108764648
25,726.023559570
26,717.421813965
27,702.781982422
28,689.321960449
29,671.525695801
30,654.905395508
31,637.599670410
32,618.053039551
33,598.798156738
34,578.930725098
35,558.090759277
36,541.159912109
37,521.798217773
38,504.103118896
39,488.870727539
40,476.381896973
41,461.489593506
42,451.502960205
43,440.941925049
44,437.873718262
45,431.739196777
46,431.841613770
47,422.254394531
48,422.489776611
49,420.724426270
50,420.715911865
51,418.849609375
52,420.860626221
53,418.860321045
54,421.439178467
55,418.582214355
56,424.957336426
57,427.252136230
58,434.019073486
59,438.372589111
60,448.852508545
61,454.936462402
62,467.912689209
63,479.010345459
64,497.003265381
65,506.519683838
66,525.495422363
67,538.639221191
68,557.401977539
69,571.556823730
70,590.517089844
71,601.871032715
72,619.500854492
73,630.491516113
74,641.696594238
75,649.627990723
76,661.370117188
77,664.156311035
78,676.695617676
79,676.239440918
80,684.398742676
81,684.647888184
82,689.203796387
83,688.974609375
84,693.840148926
85,692.852172852
86,700.392517090
87,695.038879395
88,703.120117188
89,699.905456543
90,707.666137695
91,704.467529297
92,708.634582520
93,708.802307129
94,718.115234375
95,713.346008301
96,716.676025391
97,716.733398438
98,725.994750977
99,722.136413574
100,731.968994141
101,728.725830078
102,736.996826172
103,736.325866699
104,744.004272461
105,741.232849121
106,750.198303223
107,750.158203125
108,758.925537109
109,756.784362793
110,766.368408203
111,766.751647949
112,776.005249023
113,774.398071289
114,786.052795410
115,786.149841309
116,795.750732422
117,794.435668945
118,804.677429199
119,803.276245117
120,812.897033691
121,812.120910645
122,825.177185059
123,826.930480957
124,835.991699219
125,838.060119629
126,847.016967773
127,848.190124512
128,859.245056152
129,863.930114746
130,873.121154785
