pixel,valore
0,756.079895020
1,746.556274414
2,746.580322266
3,741.871459961
4,736.936523438
5,728.788879395
6,727.802551270
7,722.426147461
8,718.975158691
9,714.000610352
10,709.690124512
11,703.103576660
12,704.652160645
13,699.126403809
14,698.697082520
15,690.896667480
16,691.674438477
17,684.901489258
18,682.811950684
19,679.695434570
20,678.326110840
21,674.320068359
22,673.364868164
23,667.369689941
24,667.571838379
25,664.106262207
26,664.841430664
27,659.690734863
28,658.618713379
29,652.915832520
30,651.748107910
31,644.863403320
32,642.135070801
33,634.710693359
34,628.164062500
35,615.544006348
36,604.586547852
37,593.500244141
38,577.466064453
39,560.291748047
40,542.521423340
41,528.068969727
42,509.063873291
43,487.356567383
44,467.878936768
45,448.433197021
46,426.991302490
47,406.020019531
48,386.271789551
49,365.926116943
50,343.697082520
51,329.028228760
52,306.735046387
53,286.627563477
54,266.459045410
55,247.623031616
56,227.433502197
57,210.518417358
58,188.236343384
59,170.677383423
60,148.385635376
61,129.384292603
62,113.854301453
63,95.524505615
64,81.560638428
65,64.102111816
66,52.096420288
67,39.828746796
68,30.284139633
69,24.008699417
70,16.307363510
71,12.784573555
72,8.183342934
73,9.612768173
74,6.303217411
75,6.315461159
76,5.649222851
77,5.052814007
78,5.967898369
79,5.494875908
80,6.374988556
81,9.795104027
82,6.900177002
83,8.608769417
84,5.622725964
85,7.535412312
86,7.522598267
87,8.268601418
88,6.010805607
89,10.259481430
90,8.053974152
91,9.658126831
92,6.728389740
93,8.602580070
94,6.496417522
95,7.699277401
96,5.741635323
97,6.236597061
98,7.116869450
99,8.367367744
100,7.159643650
101,7.091005325
102,6.591547012
103,10.187603951
104,8.668028831
105,9.274353027
106,9.040832520
107,9.189429283
108,6.182409286
109,12.786240578
110,7.884774685
111,11.486531258
112,12.449434280
113,17.221405029
114,19.204599380
115,29.465625763
116,59.421749115
117,293.896392822
118,758.029724121
119,704.676391602
120,742.568237305
121,729.593872070
122,748.884887695
123,741.106628418
124,753.415588379
125,749.577941895
126,761.462158203
127,760.155151367
128,768.420166016
129,772.214843750
130,776.008666992
