PLUGIN;VAL1;VAL2;VAL3;VAL4;VAL5;VAL6;VAL7;VAL8;VAL9;VAL10;VAL11
P1MIN;0;0;0;0;0;0;0;0;0;0;0
P1MAX;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024
P2MIN;100;100;100;100;100;100;100;100;100;100;100
P2MAX;200;200;200;200;200;200;200;200;200;200;200
P3MIN;50;50;50;50;50;50;50;50;50;50;50
P3MAX;300;300;300;300;300;300;300;300;300;300;300
P4MIN;50;50;50;50;50;50;50;50;50;50;50
P4MAX;300;300;300;300;300;300;300;300;300;300;300
P5MIN;10;10;10;10;10;10;10;10;10;10;10
P5MAX;20;20;20;20;20;20;20;20;20;20;20
P6MIN;300;300;300;300;300;300;300;300;300;300;300
P6MAX;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
P7MIN;0;0;0;0;0;0;0;0;0;0;0
P7MAX;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx
P8MIN;198;198;198;198;198;198;198;198;198;198;198
P8MAX;347;347;347;347;347;347;347;347;347;347;347
P9MIN;100;100;100;100;100;100;100;100;100;100;100
P9MAX;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
PLUGIN;		Mean7x7;	MeanBkg;	SnRatio;	FWHM;	VAL5;		VAL6;	VAL7;	VAL8;	VAL9;	VAL10;	VAL11
P10MIN;		1;			1;			1;			1;		-1000;		-1000;		-1000;	-1000;	-1000;	-1000;	-1000;
P10MAX;		2000;		1000;		800;		512;	1000;		1000;		1000;	1000;	1000;	1000;	1000;
PLUGIN;VAL1;VAL2;VAL3;VAL4;VAL5;VAL6;VAL7;VAL8;VAL9;VAL10;VAL11
P11MIN;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000
P11MAX;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000
P12;		Mean1;		NoiseImaDiff;	SnRatio;	GhostPerc;	UiPerc;		FitError;	bubbleLimit;	VAL8;	VAL9;	VAL10;	VAL11
P12MIN; 	10;			-2048;			10;    		-100;    	5;			30;			0;				10000;	10000;	10000;	10000
P12MAX;		10000;		2048;			800;		100;		100;		30;			2;				10000;	10000;	10000;	10000
